City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
180,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
181,Saint George,US,65.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
182,Tabou,CI,79.03,clear sky,4.423,-7.3528,hotêl doufoulougou
183,Cidreira,BR,71.47,scattered clouds,-30.1811,-50.2056,Hotel Castelo
186,Gambela,ET,86.04,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
188,Kindu,CD,71.06,broken clouds,-2.95,25.95,Résidence Okanda
192,Soyo,AO,77.38,broken clouds,-6.1349,12.3689,Hotel Mpampa
195,San Jose,US,76.44,clear sky,37.3394,-121.895,The Westin San Jose
196,Saint-Pierre,RE,76.64,few clouds,-21.3393,55.4781,Lindsey Hôtel
197,Yellandu,IN,65.48,few clouds,17.6,80.3333,Chekuri Satyanarayana
198,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
200,Cotonou,BJ,84.18,broken clouds,6.3654,2.4183,Novotel Cotonou Orisha
204,Adrar,MR,66.99,broken clouds,20.5022,-10.0711,
207,Tucuman,AR,78.8,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
209,Taltal,CL,67.55,few clouds,-25.4,-70.4833,Residencial Karime
210,Guerrero Negro,MX,72.37,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
211,Kruisfontein,ZA,66.25,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
212,Ambatondrazaka,MG,67.44,overcast clouds,-17.8333,48.4167,MANAMBINA Hotel
217,Sambava,MG,74.84,broken clouds,-14.2667,50.1667,Melrose
218,Hoi An,VN,75.16,scattered clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
219,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
221,Parkes,AU,77.36,broken clouds,-33.1333,148.1833,Station Motel
222,Carnarvon,AU,73.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
223,Mercedes,AR,76.86,clear sky,-34.6515,-59.4307,Posada del Inti Centro
228,Buenos Aires,AR,76.91,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
