City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Pontalina,BR,-17.525,-49.4472,69.69,93,83,2.68,heavy intensity rain
292,Xining,CN,36.6167,101.7667,8.26,92,94,2.71,overcast clouds
293,Port-Gentil,GA,-0.7193,8.7815,80.64,80,57,8.77,broken clouds
294,Sokoto,NG,13.0609,5.239,72.95,13,43,10.47,scattered clouds
295,Moctezuma,MX,29.8,-109.6667,70.9,13,1,3.96,clear sky
296,Front Royal,US,38.9182,-78.1944,47.39,33,0,6.91,clear sky
297,Atar,MR,20.5169,-13.0499,74.25,10,79,9.66,broken clouds
298,Manzanillo,CU,20.3433,-77.1167,77.88,70,73,5.99,broken clouds
299,Khatanga,RU,71.9667,102.5,4.68,85,100,15.86,overcast clouds
300,Kalemie,CD,-5.9475,29.1947,69.6,87,90,5.01,light rain
301,Ngunguru,NZ,-35.6167,174.5,75.16,93,69,9.95,broken clouds
302,Riyadh,SA,24.6877,46.7219,51.94,35,0,2.93,clear sky
303,Westport,US,41.1415,-73.3579,38.75,65,100,17.27,overcast clouds
304,North Bend,US,43.4065,-124.2243,62.24,88,0,8.05,haze
305,Ilinskiy,RU,55.619,38.1182,31.71,80,75,6.71,broken clouds
306,Puerto Quijarro,BO,-17.7833,-57.7667,77.45,67,100,1.54,overcast clouds
307,Wajid,SO,3.8093,43.2471,76.32,24,94,14.27,overcast clouds
308,Sistranda,NO,63.7256,8.834,36.9,77,100,37.63,light snow
309,Torit,SS,4.4133,32.5678,79.21,30,23,3.13,few clouds
310,Fare,PF,-16.7,-151.0167,81.84,75,68,19.26,broken clouds
311,Qui Nhon,VN,13.7667,109.2333,72.82,91,42,6.82,scattered clouds
312,Omsukchan,RU,62.5333,155.8,-20.81,72,83,2.64,broken clouds
313,Drexel Heights,US,32.1412,-111.0284,73.62,12,0,8.05,clear sky
314,Khoy,IR,38.5504,44.9535,27.45,73,32,5.48,scattered clouds
315,Brigantine,US,39.4101,-74.3646,40.03,65,0,14.97,clear sky
316,Saint-Francois,FR,46.4154,3.9054,34.68,93,0,0.0,clear sky
317,Fethiye,TR,36.6217,29.1164,44.47,80,100,2.66,overcast clouds
318,Srivardhan,IN,18.0333,73.0167,66.49,84,19,6.35,few clouds
319,Malakal,SS,9.5334,31.6605,76.91,21,50,5.21,scattered clouds
320,Panama City,PA,8.9936,-79.5197,89.17,55,20,14.97,few clouds
321,Wabana,CA,47.6332,-52.9481,29.37,84,100,17.27,overcast clouds
322,Isangel,VU,-19.55,169.2667,82.51,94,75,4.61,moderate rain
323,Honiara,SB,-9.4333,159.95,78.48,92,100,6.29,overcast clouds
324,Veraval,IN,20.9,70.3667,66.22,83,2,10.74,clear sky
325,Jaru,BR,-10.4389,-62.4664,75.07,94,98,0.36,overcast clouds
326,Lata,PT,40.1629,-8.3327,55.72,67,0,4.63,clear sky
327,Raudeberg,NO,61.9875,5.1352,39.87,94,100,8.99,overcast clouds
328,Dunedin,NZ,-45.8742,170.5036,58.8,87,100,4.0,light rain
329,Ponta Delgada,PT,37.7333,-25.6667,57.51,76,20,8.05,few clouds
330,Yulara,AU,-25.2406,130.9889,76.84,73,100,10.36,overcast clouds
331,Mount Gambier,AU,-37.8333,140.7667,66.11,72,75,10.36,broken clouds
332,Dubreka,GN,9.7911,-13.5233,82.47,86,89,4.36,overcast clouds
333,Kurri Kurri,AU,-32.8167,151.4833,74.41,75,2,4.99,clear sky
334,Sangmelima,CM,2.9333,11.9833,65.66,57,26,2.35,scattered clouds
335,Puerto Narino,CO,-3.7703,-70.3831,80.55,96,99,1.28,heavy intensity rain
336,Borisoglebskiy,RU,57.2586,39.1508,31.64,94,100,8.1,overcast clouds
337,Florence,IT,43.7667,11.25,45.75,70,0,3.44,clear sky
338,Umba,RU,66.6871,34.3429,17.74,96,100,8.14,overcast clouds
339,Turukhansk,RU,65.8167,87.9833,-17.61,92,100,5.37,overcast clouds
340,Jadu,LY,31.953,12.0261,46.49,69,85,7.38,overcast clouds
341,Pandan,PH,14.0453,124.1694,77.41,80,94,11.65,overcast clouds
342,Siguiri,GN,11.6667,-9.5,76.1,13,86,1.28,overcast clouds
343,Camacha,PT,33.0833,-16.3333,63.36,77,20,9.22,few clouds
344,Port Macquarie,AU,-31.4333,152.9167,67.96,72,6,4.97,clear sky
345,Kearney,US,40.6995,-99.0815,57.76,18,0,25.32,clear sky
346,Gat,IL,31.61,34.7642,55.4,48,53,7.14,broken clouds
